0,1
"673.08087,634,654,645,655,648,636,625,628,655,635,626,634,645,649,641,637,641,653,642,661,642,639,629,654,643,632,643,654,642,629,650,640,643,636,640,615,647,643,645,661,635,642,625,655,636,649,646,638,637,652,644,645,637,654,638,656,653,618,641,643,647,663,632,639,639,651,632,647,639,627,642,646,634,627,643,637,645,645,652,649,646,643,629,658,641,635,653,636,644,649,640,655,657,637,650,637,638,641,645,625,637,653,655,658,624,643,641,644,646,641,635,628,654,646,648,652,641,659,643,632,623,648,662,650,649,648,638,650,624,649,653,635,656,650,642,639,652,644,643,644,650,640,647,656,638,638,622,630,645,635,648,644,641,649,646,646,654,649,650,652,655,647,653,653,631,648,638,656,651,648,645,651,627,661,644,629,638,675,625,640,650,639,651,663,654,655,657,655,635,644,671,655,645,641,662,632,640,651,632,639,640,649,643,648,637,651,650,662,651,642,627,658,649,645,654,624,647,634,649,642,642,658,640,641,654,634,642,647,645,643,639,653,630,631,652,645,628,650,631,653,630,648,652,653,645,650,636,640,646,628,642,638,653,639,654,638,630,640,639,641,629,628,633,643,652,651,663,652,643,638,649,650,642,666,643,655,655,646,646,636,645,637,642,643,655,644,651,645,654,671,660,652,660,648,664,654,663,651,667,644,626,658,637,648,660,658,649,645,647,624,663,649,653,658,647,662,665,646,641,669,693,697,643,642,639,650,647,638,635,647,653,648,658,651,646,667,641,661,648,633,623,640,648,640,644,644,642,656,663,655,656,658,637,640,649,633,652,636,643,656,646,655,644,651,639,648,661,630,641,629,651,638,654,642,636,647,651,664,662,639,657,646,652,635,660,646,661,643,645,652,630,641,662,657,659,655,649,660,635,656,640,626,653,640,665,636,634,643,646,643,652,659,641,652,660,663,638,644,652,653,643,641,644,672,647,651,664,648,650,649,668,658,643,658,669,647,639,646,676,727,1058,1696,696,642,658,650,645,643,636,657,652,657,666,658,647,666,639,668,636,672,661,648,644,658,643,649,661,664,679,676,653,652,667,657,686,657,647,651,651,651,665,660,668,650,661,633,649,660,646,652,643,670,660,653,636,665,662,645,656,650,668,658,662,668,656,660,671,681,664,653,640,663,658,657,680,675,664,656,650,662,651,657,639,666,659,660,655,668,643,644,652,660,659,665,696,672,666,659,634,673,670,660,663,634,667,658,657,666,662,634,660,654,660,657,666,654,659,676,681,686,673,672,666,667,675,661,683,661,663,672,687,649,660,669,644,649,665,655,646,654,660,652,668,650,659,633,654,654,643,653,653,657,647,657,655,666,648,666,674,666,668,656,659,672,651,647,660,654,659,644,660,658,655,634,643,656,656,677,653,664,646,657,647,655,665,651,657,674,681,640,657,665,655,662,655,654,655,637,642,671,664,649,653,659,651,655,679,677,671,637,667,681,652,663,648,642,642,651,657,663,649,669,696,669,650,670,655,660,658,675,643,658,670,650,673,671,1181,971,811,685,660,650,651,660,667,669,662,634,663,657,660,672,671,669,659,659,662,654,698,672,664,680,653,648,649,670,633,662,650,680,650,666,641,651,658,646,670,671,654,649,656,666,670,647,644,668,656,644,626,661,650,654,653,654,651,652,654,649,639,638,642,658,658,654,656,658,654,665,661,634,668,672,661,691,684,665,656,672,669,638,657,676,658,661,658,650,643,654,677,645,636,636,658,655,666,655,644,664,662,683,671,668,648,652,656,680,674,666,665,650,645,657,657,657,655,649,670,636,655,639,650,623,659,643,669,650,639,683,654,657,668,637,652,633,659,643,659,656,653,639,649,659,673,631,667,659,670,654,644,656,652,647,660,653,654,683,659,649,642,667,657,678,667,648,652,652,647,648,658,642,651,664,655,655,662,653,645,652,658,640,648,639,667,674,646,644,669,655,645,659,650,661,676,689,666,659,650,657,663,643,663,639,645,651,655,663,668,655,668,663,645,666,658,645,648,629,668,639,657,652,655,664,653,652,642,665,649,655,651,641,643,662,649,655,655,676,659,659,663,679,661,644,672,652,648,666,657,666,644,657,651,656,664,643,661,679,641,645,646,667,637,643,646,652,641,649,649,648,655,662,654,632,646,647,644,666,644,667,659,635,657,635,661,674,653,676,643,660,655,648,644,665,653,659,662,638,648,646,663,640,630,649,634,646,638,639,660,642,650,654,653,635,667,655,650,656,653,640,657,650,657,649,669,640,651,650,664,657,666,642,664,663,666,641,634,651,671,662,658,658,651,652,646,648,
","
"
"
","Date and Time:                Wed Jun  4 14:31:38 2025
"
"Software Version:             4.29.30012.0
","Temperature (C):              10
"
"Model:                        DH334T-18F-03
","Data Type:                    Counts
"
"Acquisition Mode:             Single Scan
","Trigger Mode:                 External
"
"Exposure Time (secs):         0.001
","Readout Mode:                 Full Resolution Image
"
"Horizontal Binning:           1
","Vertical Binning:             1
"
"Clockwise rotation:           false
","Anti-Clockwise rotation:      false
"
"Horizontally flipped:         false
","Vertically flipped:           false
"
"Vertical Shift Speed (usecs): 6.5
","Pixel Readout Rate (MHz):     3
"
"Clock Amplitude:              Normal
","Serial Number:                5885
"
"Pre-Amplifier Gain:           4x
","Trigger level (V):            1.5
"
"Termination:                  hi-Z
","Inverted:                     false
"
"Intelligate:                  off
","Insertion delay:              ultra fast
"
"Gain level:                   1612
","Integrate on chip:            off
"
"PIV Mode:                     off
","Gate Mode:                    DDG on
"
"Gate Width (nsecs):           15
","Gate Delay (nsecs):           0
"
"Spurious Noise Filter Mode:   No Filter
","Photon counted:               false
"
"Data Averaging Filter Mode:   No Filter
","SR303i:
"
"Serial Number:                SR0649
","Wavelength (nm):              500
"
"
",
