0,1
"673.08087,639,644,631,639,634,651,631,626,623,664,615,652,635,631,655,635,636,661,643,644,633,632,621,644,626,638,628,645,639,629,646,636,635,645,656,652,651,654,677,634,634,640,631,645,640,639,668,765,1116,1227,713,669,628,644,646,641,646,634,637,647,635,640,624,628,645,625,637,641,638,642,627,614,648,632,644,644,646,637,631,641,645,628,661,645,666,642,642,632,647,644,648,645,642,645,639,654,649,650,641,622,651,659,610,637,647,646,637,630,631,631,625,631,635,637,629,647,655,636,635,630,646,630,637,645,653,635,684,637,645,640,656,630,642,644,641,647,648,648,651,657,625,661,652,641,644,633,653,654,665,643,647,647,660,641,647,631,648,641,650,635,644,639,646,654,642,642,647,636,638,650,635,634,642,640,664,650,630,635,645,650,642,641,634,638,652,628,637,650,635,653,655,644,650,651,671,640,642,643,644,640,632,649,638,643,644,644,646,659,650,633,644,647,635,643,638,645,644,647,646,662,696,714,2754,657,655,639,663,637,642,647,649,646,630,617,642,640,640,645,642,660,637,656,619,638,630,638,658,641,657,640,638,653,635,648,646,640,633,627,633,640,654,660,648,636,646,637,643,631,653,633,649,654,638,642,647,665,643,640,639,660,623,659,656,639,648,646,634,648,651,645,638,623,640,641,643,663,630,646,630,660,635,634,644,641,643,630,654,647,629,656,661,649,658,650,650,668,640,643,647,653,641,632,647,659,662,646,650,655,651,658,659,634,649,660,656,659,643,651,626,651,677,725,1976,999,708,649,648,635,633,646,662,635,652,646,664,627,636,640,650,664,644,632,633,647,631,629,652,651,643,634,627,643,657,640,646,660,646,663,664,659,668,636,654,655,661,660,661,653,652,636,642,640,640,648,658,669,630,653,652,646,656,656,644,653,644,641,647,671,641,661,643,640,653,653,644,643,658,649,656,655,642,639,651,654,645,654,644,642,636,671,676,649,665,648,656,643,649,631,642,640,641,640,666,662,640,642,655,659,646,657,632,640,644,655,655,658,659,665,647,650,654,657,637,649,638,627,651,662,640,649,672,643,665,644,656,654,633,672,639,641,634,645,656,635,636,645,674,637,661,666,660,644,650,664,650,659,667,673,639,636,657,674,643,654,653,667,674,656,640,670,638,654,680,660,661,659,645,663,632,651,640,650,660,656,648,637,653,671,656,655,681,664,636,649,650,661,642,643,660,827,1012,720,657,660,659,653,641,659,688,661,665,661,640,654,652,668,659,664,667,647,657,645,650,678,665,650,666,673,655,653,645,665,651,639,681,666,655,662,676,675,653,670,673,646,653,661,643,645,657,650,653,652,661,661,640,642,652,642,654,657,662,658,676,665,643,684,651,665,651,650,637,656,646,641,645,649,652,646,676,654,667,650,666,645,648,664,685,692,678,662,676,649,652,659,652,649,646,652,685,667,654,666,658,644,657,630,643,657,652,651,639,643,652,660,649,645,652,649,644,642,659,657,668,667,647,639,634,657,662,659,643,649,640,654,656,628,652,656,668,641,647,645,652,637,667,667,672,678,680,655,649,645,658,655,666,676,670,786,675,658,642,657,669,641,628,645,673,652,661,676,655,644,664,653,632,654,660,636,660,635,664,639,657,659,657,655,659,742,1112,699,660,661,662,656,648,661,667,645,655,656,667,651,642,668,652,663,664,673,662,647,655,646,651,666,645,657,664,645,664,650,666,655,661,664,666,650,662,646,660,653,650,660,676,671,637,659,677,651,659,655,668,699,670,657,652,655,648,654,671,661,655,642,650,657,645,641,664,661,657,653,647,643,659,638,638,673,651,653,634,657,652,667,651,651,646,666,660,641,643,653,664,644,661,639,656,634,644,644,661,651,649,675,647,645,635,642,648,646,653,657,647,648,637,651,655,645,653,667,660,637,644,782,955,680,717,851,1078,665,669,658,654,668,644,633,650,647,646,667,637,664,646,653,673,645,639,656,657,645,651,642,655,661,662,653,665,664,656,644,655,657,660,652,665,662,642,645,631,661,659,626,643,663,658,634,658,649,638,657,649,663,637,675,642,650,655,653,662,650,655,648,646,650,655,645,638,669,635,657,664,658,650,648,654,661,675,643,636,633,648,639,632,630,652,660,649,661,636,652,662,663,647,653,661,671,648,664,649,656,645,657,651,644,643,663,654,651,647,655,673,658,663,645,643,653,662,656,643,644,640,657,628,658,672,655,652,657,675,677,664,657,647,657,658,640,653,644,638,638,651,669,651,656,664,672,634,650,665,660,612,638,652,641,665,642,660,654,641,663,635,630,658,671,652,675,
","
"
"
","Date and Time:                Wed Jun  4 13:54:02 2025
"
"Software Version:             4.29.30012.0
","Temperature (C):              10
"
"Model:                        DH334T-18F-03
","Data Type:                    Counts
"
"Acquisition Mode:             Single Scan
","Trigger Mode:                 External
"
"Exposure Time (secs):         0.001
","Readout Mode:                 Full Resolution Image
"
"Horizontal Binning:           1
","Vertical Binning:             1
"
"Clockwise rotation:           false
","Anti-Clockwise rotation:      false
"
"Horizontally flipped:         false
","Vertically flipped:           false
"
"Vertical Shift Speed (usecs): 6.5
","Pixel Readout Rate (MHz):     3
"
"Clock Amplitude:              Normal
","Serial Number:                5885
"
"Pre-Amplifier Gain:           4x
","Trigger level (V):            1.5
"
"Termination:                  hi-Z
","Inverted:                     false
"
"Intelligate:                  off
","Insertion delay:              ultra fast
"
"Gain level:                   1612
","Integrate on chip:            off
"
"PIV Mode:                     off
","Gate Mode:                    DDG on
"
"Gate Width (nsecs):           15
","Gate Delay (nsecs):           0
"
"Spurious Noise Filter Mode:   No Filter
","Photon counted:               false
"
"Data Averaging Filter Mode:   No Filter
","SR303i:
"
"Serial Number:                SR0649
","Wavelength (nm):              500
"
"
",
